-machine(in bits)  64
-total_cache_size(in KB) 1
-num_cache_way 2
-block_size(in bytes) 64

R 94e20
W 94e18
W 94e10
W 94e08
W 94e00
W 94df8
W 94df0
W 94de8
W 94de0
W 94dd8
W 94bf8
W 94bf0
W 94be8
R 94e10
W 807b0
W 92df8
W 7f9f8
R 94e38
W 94bd8
R 94e40
R 94e50
R 5ebe8
R 94e58
W 92e70
R 94e60
R 5eb98
R 94e68
W 93540
R 94e70
R 5ebf0
R 94e78
W 934f0
R 94e80
R 5eb80
R 94e88
W 934e0
R 94e90
R 5eb88
R 94ea0
R 5eb90
R 94ea8
W 93510
R 94eb0
R 5eba0
R 94ec0
R 5eba8
R 94ed0
R 5ebb0
R 94ee0
R 5ebc0
R 94ee8
R 94ef0
R 5ebc8
R 94ef8
R 94f00
R 5ebd0
R 94f08
R 94f10
R 5ebd8
R 94f18
R 94f20
R 5ec20
R 94f28
W 93590
W 7fa00
R 94f30
R 94f40
R 94f50
R 5ebe0
R 94f60
R 94bd8
R 807b0
W 94bd8
R 94bd8
R 94c82
R 94c83
R 94c84
R 94c85
R 94c86
R 94c87
W 93530
W 94bd8
W 94bc0
W 94bc8
W 94bd0
W 94ba8
W 94bb0
W 94bb8
R 934e0
W 94ba0
W 94b98
W 94b90
R 93510
R 40
R 78
R b0
R e8
R 120
R 94ba8
R 94bb0
R 94bb8
R 94bc0
R 94bc8
R 94bd0
R 94bd8
R 92df8
W 94bd8
W 94bc0
W 94bc8
W 94bd0
W 807b0
R 809e0
W 94bb8
W 94bb6
R 94bb6
W 94bb6
R 94bb6
R 94bb8
W 93598
W 935a0
W 92df8
W 94bb8
W 94ba8
W 94bb0
R 93590
R 94ba8
R 94bb0
R 94bb8
W 94bb8
W 94bb0
W 94ba8
W 94ba0
W 94b98
R 93540
W 934c0
W 94b88
W 94b70
W 94b80
W 94b60
W 94b68
W 94b78
W 94b58
R 5ed49
R 5ed4a
R 5ed4b
R 5ed4c
R 5ed4d
R 5ed4e
R 5ed4f
R 5ed50
R 94b58
R 92df8
R 5ed49
R 5ed4a
R 94e38
R 5ed49
R 94b60
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
R 71707
W 93508
W 94b88
W 94b70
W 94b80
W 94b60
W 94b68
W 94b78
W 94b58
R 5ed51
R 5ed52
R 5ed53
R 5ed54
R 5ed55
R 5ed56
R 5ed57
R 5ed58
R 5ed60
R 94b58
R 92df8
R 5ed51
R 5ed52
R 94e38
R 5ed51
R 94b60
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
W 94b88
W 94b80
W 94b78
W 94b70
W 94b68
R 934a0
R 934d0
W 94b58
W 92e88
W 92e80
W 7fa38
R 94b58
W 7fa30
W 94b58
W 94b48
W 94b38
W 94b40
W 94b50
R 806f8
R 94b58
R 94b38
R 94b40
R 94b48
R 94b50
W 94b50
W 806f8
W 94b48
W 94b30
W 94b38
W 94b40
R 806e0
W 806e0
W 92d48
W 92d5c
W 92d50
W 92d40
W 94b18
R 93540
R 94b18
W 92d64
W 92480
W 92d28
W 92da0
W 92478
R 7fb08
W 94b18
W 94ae8
W 94af0
W 94af8
W 94b00
W 94b08
W 94b10
W 94ae0
W 94ad8
W 94ac8
W 94ab8
W 94ac0
W 94ad0
R 806f8
R 92478
R 92480
W 92480
W 94aa8
W 94aa0
W 94a98
W 94a90
W 94a88
W 94a80
W 94a78
W 94a70
R 924a8
R 94a70
W 94a70
R 94a70
R 94a70
R 92580
W 94a28
W 94a20
W 94a18
W 94a10
W 94a08
W 94a00
W 949f8
R 924a8
R 949f8
R 94a00
R 94a08
R 94a10
R 94a18
R 94a20
W 92530
W 92528
W 92540
W 92538
W 92550
W 92548
W 92560
W 92558
W 92570
W 92568
W 92580
W 92578
W 92590
W 92588
W 925a0
W 92598
W 925b0
W 925a8
W 925c0
W 925b8
W 925d0
W 925c8
W 925e0
W 925d8
W 925f0
W 925e8
W 92600
W 925f8
W 92610
W 92608
W 92620
W 92618
W 92630
W 92628
W 92640
W 92638
W 92650
W 92648
W 92660
W 92658
W 92670
W 92668
W 92680
W 92678
W 92690
W 92688
W 926a0
W 92698
W 926b0
W 926a8
W 926c0
W 926b8
W 926d0
W 926c8
W 926e0
W 926d8
W 926f0
W 926e8
W 92700
W 926f8
W 92710
W 92708
W 92720
W 92718
W 92730
W 92728
W 92740
W 92738
W 92750
W 92748
W 92760
W 92758
W 92770
W 92768
W 92780
W 92778
W 92790
W 92788
W 927a0
W 92798
W 927b0
W 927a8
W 927c0
W 927b8
W 927d0
W 927c8
W 927e0
W 927d8
W 927f0
W 927e8
W 92800
W 927f8
W 92810
W 92808
W 92820
W 92818
W 92830
W 92828
W 92840
W 92838
W 92850
W 92848
W 92860
W 92858
W 92870
W 92868
W 92880
W 92878
W 92890
W 92888
W 928a0
W 92898
W 928b0
W 928a8
W 928c0
W 928b8
W 928d0
W 928c8
W 928e0
W 928d8
W 928f0
W 928e8
W 92900
W 928f8
W 92910
W 92908
W 92920
W 92918
W 92930
W 92928
W 92940
W 92938
W 92950
W 92948
W 92960
W 92958
W 92970
W 92968
W 92980
W 92978
W 92990
W 92988
W 929a0
W 92998
W 929b0
W 929a8
W 929c0
W 929b8
W 929d0
W 929c8
W 929e0
W 929d8
W 929f0
W 929e8
W 92a00
W 929f8
W 92a10
W 92a08
W 92a20
W 92a18
W 92a30
W 92a28
W 92a40
W 92a38
W 92a50
W 92a48
W 92a60
W 92a58
W 92a70
W 92a68
W 92a80
W 92a78
W 92a90
W 92a88
W 92aa0
W 92a98
W 92ab0
W 92aa8
W 92ac0
W 92ab8
W 92ad0
W 92ac8
W 92ae0
W 92ad8
W 92af0
W 92ae8
W 92b00
W 92af8
W 92b10
W 92b08
W 92b20
W 92b18
W 92b30
W 92b28
W 92b40
W 92b38
W 92b50
W 92b48
W 92b60
W 92b58
W 92b70
W 92b68
W 92b80
W 92b78
W 92b90
W 92b88
W 92ba0
W 92b98
W 92bb0
W 92ba8
W 92bc0
W 92bb8
W 92bd0
W 92bc8
W 92be0
W 92bd8
W 92bf0
W 92be8
W 92c00
W 92bf8
W 92c10
W 92c08
W 92c20
W 92c18
W 92c30
W 92c28
W 92c40
W 92c38
W 92c50
W 92c48
W 92c60
W 92c58
W 92c70
W 92c68
W 92c80
W 92c78
W 92c90
W 92c88
W 92ca0
W 92c98
W 92cb0
W 92ca8
W 92cc0
W 92cb8
W 92cd0
W 92cc8
W 92ce0
W 92cd8
W 92cf0
W 92ce8
W 92d00
W 92cf8
W 92d10
W 92d08
R 924a8
W 924a8
W 92508
R 94a28
R 94a70
R 94a70
W 94a68
W 94a38
W 94a30
R 92530
R 94a70
R 92d18
R 92d1c
R 92d20
R 92d24
R 92508
R 92520
R 94a30
R 924a8
R 92d64
R 94a70
R 92d50
W 94a48
R 92520
W 94a60
W 94a50
W 94a58
R 94a70
R 92d48
R 94a48
R 924a8
W 94a40
R 80700
W 94a28
W 94a18
W 94a08
W 94a10
R 930f0
W 949f8
W 949f0
W 949e8
W 930f0
R 949e8
R 949f0
R 949f8
R 930f0
W 949f8
W 949f0
W 949e8
W 930f0
R 949e8
R 949f0
R 949f8
R 94a10
R 94a08
R 94a18
R 94a28
R 92460
R 92d80
R 92d30
R 94a58
W 92d80
R 94a50
R 924a8
W 92d30
R 94a48
R 94a40
R 80700
W 94a28
W 94a18
W 94a08
W 94a10
R 930f0
R 807b0
R 94a08
R 94a10
R 94a18
R 94a28
W 94a50
R 92460
R 94a50
R 94a50
W 94a50
W 92508
R 94a50
W 96008
R 92d30
W 92d30
R 92d38
W 92d38
R 96008
R 94a30
R 94a70
R 94a70
W 94a70
R 94a68
R 94a70
W 92508
W 96008
W 96038
R 94a78
R 94a80
R 94a88
R 94a90
R 94a98
R 94aa0
R 94aa8
W 92480
R 94ab8
R 94ac0
R 94ac8
R 94ad0
R 94ad8
W 96020
W 96028
W 94ad8
W 94ac8
W 94ab8
W 94ac0
W 94ad0
R 806f8
R 92478
R 92480
W 92480
W 94aa8
W 94aa0
W 94a98
W 94a90
W 94a88
W 94a80
W 94a78
W 94a70
R 924a8
R 94a70
W 94a70
R 94a70
R 924d0
R 94a70
R 94a70
R 92580
R 94a70
R 94a70
W 94a68
W 94a38
W 94a30
R 92530
R 94a70
R 92d18
R 92d1c
R 92d20
R 92d24
R 92508
R 96038
R 94a30
R 94a70
R 94a70
R 94a70
W 94a70
R 94a68
R 94a70
W 92508
W 96038
W 96068
R 94a78
R 94a80
R 94a88
R 94a90
R 94a98
R 94aa0
R 94aa8
W 92480
R 94ab8
R 94ac0
R 94ac8
R 94ad0
R 94ad8
W 96050
W 96058
R 94ae0
W 94ad8
W 94ac8
W 94ab8
W 94ac0
W 94ad0
R 806f8
R 92478
R 92480
W 92480
W 94aa8
W 94aa0
W 94a98
W 94a90
W 94a88
W 94a80
W 94a78
W 94a70
R 924a8
R 94a70
W 94a70
R 94a70
R 924d0
R 94a70
R 94a70
R 92580
R 94a70
R 94a70
W 94a68
W 94a38
W 94a30
R 92530
R 94a70
R 92d18
R 92d1c
R 92d20
R 92d24
R 92508
R 96068
R 94a30
R 94a70
R 94a70
R 94a70
W 94a70
R 94a68
R 94a70
W 92508
W 96068
W 96098
R 94a78
R 94a80
R 94a88
R 94a90
R 94a98
R 94aa0
R 94aa8
W 92480
R 94ab8
R 94ac0
R 94ac8
R 94ad0
R 94ad8
R 94ae0
W 96088
W 96080
R 80c50
W 80c48
W 96018
W 96010
W 80c50
R 80c60
W 80c58
W 96048
W 96040
W 80c60
R 80c70
W 80c68
W 96078
W 96070
W 80c70
R 94ae8
R 94af0
R 94af8
R 94b00
R 94b08
R 94b10
R 94b18
R 92df8
R 7fa00
W 94b28
R 94e38
R 92470
R 94b30
R 94b38
R 94b40
W 806e0
R 94b48
R 94b50
W 94b48
W 94b38
W 94b40
W 94b50
R 806f8
R 92478
R 92480
W 92480
W 94b28
W 94b20
W 94b18
W 94b10
W 94b08
W 94b00
W 94af8
W 94af0
R 924a8
R 94af0
W 94af0
R 94af0
R 924c0
R 94af0
R 94af0
R 92560
R 94af0
R 94af0
W 94ae8
W 94ab8
W 94ab0
R 92530
R 94af0
R 92d18
R 92d1c
R 92d20
R 92d24
R 92508
R 96098
R 94ab0
R 94af0
R 94af0
R 94af0
W 94af0
R 94ae8
R 94af0
W 92508
W 96098
W 960b8
R 94af8
R 94b00
R 94b08
R 94b10
R 94b18
R 94b20
R 94b28
W 92480
R 94b38
R 94b40
R 94b48
R 94b50
R 94b58
W 7fa50
R 7fa38
W 94b58
W 94b48
W 94b38
W 94b40
W 94b50
R 806f8
R 92478
R 92480
W 92480
W 94b28
W 94b20
W 94b18
W 94b10
W 94b08
W 94b00
W 94af8
W 94af0
R 924a8
R 94af0
W 94af0
R 94af0
R 94af0
R 94af0
R 94af0
W 94ae8
W 94ab8
W 94ab0
R 92530
R 94af0
R 92a30
R 92d20
R 92d24
R 92508
R 960b8
R 94ab0
R 94af0
R 94af0
R 94af0
W 94af0
R 94ae8
R 94af0
W 92508
W 960b8
W 96708
R 94af8
R 94b00
R 94b08
R 94b10
R 94b18
R 94b20
R 94b28
W 92480
R 94b38
R 94b40
R 94b48
R 94b50
R 94b58
W 960a0
R 7fa50
R 960a0
W 93528
W 7fa58
R 62660
W 960d8
W 960a0
W 960c8
W 960d0
W 960e0
R 960d8
R 62670
R 7fa38
W 960e8
W 960c0
R 62668
W 96128
W 960a8
W 96118
W 96120
W 96130
R 96128
R 62678
R 7fa38
W 96138
W 96110
W 930f8
W 960b0
R 93528
W 7fa20
W 93500
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
W 94b88
W 94b70
W 94b80
W 94b60
W 94b68
W 94b78
W 94b58
R 5ed61
R 5ed62
R 5ed63
R 5ed64
R 5ed65
R 5ed66
R 5ed67
R 5ed68
R 94b58
R 92df8
R 5ed61
R 5ed62
R 94e38
R 5ed61
R 94b60
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
R 71707
W 934d8
W 94b88
W 94b70
W 94b80
W 94b60
W 94b68
W 94b78
W 94b58
R 5ed6d
R 5ed6e
R 5ed6f
R 5ed70
R 5ed78
R 94b58
R 92df8
R 5ed6d
R 5ed6e
R 94e38
R 5ed6d
R 94b60
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
R 71707
W 934f8
W 94b88
W 94b70
W 94b80
W 94b60
W 94b68
W 94b78
W 94b58
R 5ed7a
R 5ed7b
R 5ed7c
R 5ed7d
R 5ed7e
R 5ed7f
R 5ed80
R 94b58
R 92df8
R 5ed7a
R 5ed7b
R 94e38
R 5ed7a
R 94b60
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
R 71707
W 934c8
W 94b88
W 94b70
W 94b80
W 94b60
W 94b68
W 94b78
W 94b58
R 5ed86
R 5ed87
R 5ed88
R 5ed90
R 94b58
R 92df8
R 5ed86
R 5ed87
R 94e38
R 5ed86
R 94b60
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
R 71707
W 934f4
W 94b88
W 94b70
W 94b80
W 94b60
W 94b68
W 94b78
W 94b58
R 5ed96
R 5ed97
R 5ed98
R 5eda0
R 94b58
R 92df8
R 5ed96
R 5ed97
R 94e38
R 5ed96
R 94b60
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
R 7fa00
W 93480
R 934d0
W 807a0
W 80798
W 80790
W 80788
W 94b88
W 94b70
W 94b80
W 94b60
W 94b68
W 94b78
W 94b58
R 5edb8
R 5edc0
R 5edc8
R 94b58
R 92df8
R 5edb8
R 5edb9
R 94e38
R 5edb8
R 94b60
R 94b68
R 94b70
R 94b78
R 94b80
R 94b88
R 934d0
R 934e0
R 93510
R 40
R 78
R b0
R e8
R ec
W 80770
R 94b98
R 94ba0
R 94ba8
R 94bb0
R 94bb8
R 94bc0
R 94bc8
R 94bd0
W 94bd0
W 94bc8
R 94e28
W 94bb8
W 94bb0
W 94ba8
W 94b98
R 94f9e
R 94f9f
R 94b98
W 94b98
R 94fa0
R 94b98
W 94b98
R 94fa6
R 94fa7
R 94fa8
R 94fb0
R 94b98
W 94b98
R 94fb1
R 94fb2
R 94fb3
R 94fb4
R 94fb5
R 94fb6
R 94b98
W 94b98
R 94fb7
R 94fb8
R 94b98
W 94b98
R 94fbb
R 94fbc
R 94fbd
R 94fbe
R 94b98
W 94b98
R 94fbf
R 94fc0
R 94b98
W 94b98
R 94fc5
R 94fc6
R 94fc7
R 94fc8
R 94b98
R 94ba8
R 94bb0
R 94bb8
W 80720
R 94e28
W 80728
R 94bc8
R 94bd0
R 94bd8
R 94be8
R 94be8
W 94bd8
W 94bc0
W 94bc8
W 94bd0
W 94bb8
W 94bb0
W 94ba8
W 94ba0
R 7fee8
R 92048
W 92048
R 92040
W 92048
W 92050
R 94ba0
R 94ba8
R 94bb0
R 94bb8
W 92050
W 92058
W 92060
W 92068
R 94bc0
R 94bc8
R 94bd0
R 94bd8
R 7fa00
R 94bf0
R 94bf0
W 94bd8
W 94bd0
W 94bc8
W 94bb8
W 94ba8
R 7fad0
R 94ba8
W 94ba8
W 94ba0
W 94b98
W 94b88
W 94b90
R 76448
W 814c0
R 814c0
W 814c0
R 7fa60
W 814a0
W 814a8
W 814b0
W 814b8
R 91570
W 814c8
W 91570
R 94b88
R 94b90
R 94b98
R 7f030
R 94ba0
R 94ba8
W 94ba8
W 94ba0
W 94b98
R 7f008
W 94b88
W 94b78
W 94b80
R 91fe8
W 91fe8
W 94b58
R 92e60
R 94b58
W 94b58
R 92e60
R 94b58
W 94b58
R 92e60
R 94b58
R 94b78
R 94b80
R 94b88
R 7f000
R 94b98
R 94ba0
R 94ba8
R 94bb8
R 94bc8
R 94bd0
R 94bd8
W 94bd8
W 94bc8
W 94bd0
R 91fe8
R 94bc8
R 94bd0
R 94bd8
R 92df8
R 94bf8
W 94bd8
W 94bd0
W 94bc8
W 94b20
W 94b18
W 94b28
W 94b30
W 94b38
R 806d0
W 94af0
W 94af4
W 94af8
W 94b00
W 94ae8
W 94ae0
W 94ad8
W 94ad0
W 94ac8
W 94ac0
W 94ab8
W 945a0
W 945b0
W 945a8
W 94598
W 94458
R 92e60
R 94458
R 945b0
R 92e94
W 94564
W 94568
R 80288
W 80288
R 945b0
R 801e0
R 945a8
R 945a0
R 945a8
W 94590
W 9456c
R 94af0
W 946a0
R 94af8
W 946a8
R 94b00
W 94648
W 946b0
W 94458
W 94450
W 94448
W 94440
R 5d464
W 94648
R 5d464
R 5d465
W 94648
R 5d465
R 5d466
W 94648
R 5d466
R 5d467
W 94648
R 5d467
R 5d468
W 94648
R 5d468
R 5d469
W 94648
R 5d469
R 5d46a
W 94648
R 5d46a
R 5d46b
W 94648
R 5d46b
R 5d46c
W 94648
R 5d46c
R 5d46d
W 94648
